name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 363 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 364 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 365 (Health),Health,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 366 (Education),Education,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 367 (Agriculture),Agriculture,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 368 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 369 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 370 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 371 (Education),Education,Ministry of Education,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 372 (Education),Education,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 373 (MSME),MSME,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 374 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 375 (Health),Health,Ministry of Finance,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 376 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 377 (Health),Health,Ministry of Finance,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 378 (Finance),Finance,Ministry of Finance,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 379 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 380 (Health),Health,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 381 (MSME),MSME,Ministry of Finance,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 382 (Education),Education,Ministry of Finance,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 383 (MSME),MSME,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 384 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 385 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 386 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 387 (Finance),Finance,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 388 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 389 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 390 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 391 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 392 (Education),Education,Ministry of Finance,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 393 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 394 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 395 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 396 (Education),Education,Ministry of Finance,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 397 (Education),Education,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 398 (Education),Education,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 399 (Health),Health,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 400 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 401 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 402 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 403 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 404 (MSME),MSME,Ministry of Education,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 405 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 406 (Finance),Finance,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 407 (Education),Education,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 408 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 409 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 410 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 411 (Health),Health,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 412 (Finance),Finance,Ministry of Education,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 413 (MSME),MSME,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 414 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 415 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 416 (Finance),Finance,Ministry of Finance,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 417 (MSME),MSME,Ministry of Finance,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 418 (Finance),Finance,Ministry of Education,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 419 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 420 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 421 (Education),Education,Ministry of Education,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 422 (Agriculture),Agriculture,Ministry of Education,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 423 (Finance),Finance,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 424 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 425 (Agriculture),Agriculture,Ministry of Education,Bihar,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 426 (MSME),MSME,Ministry of Finance,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 427 (Finance),Finance,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 428 (Health),Health,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 429 (Health),Health,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 430 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 431 (Education),Education,Ministry of Health and Family Welfare,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 432 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 433 (Education),Education,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 434 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 435 (Health),Health,Ministry of Education,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 436 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 437 (Agriculture),Agriculture,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 438 (Education),Education,Ministry of Education,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 439 (Finance),Finance,Ministry of Education,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 440 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 441 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 442 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 443 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 444 (Agriculture),Agriculture,Ministry of Education,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 445 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 446 (Agriculture),Agriculture,Ministry of Finance,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 447 (Health),Health,Ministry of Education,Bihar,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 448 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 449 (MSME),MSME,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 450 (Health),Health,Ministry of Education,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 451 (Health),Health,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 452 (Agriculture),Agriculture,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 453 (Agriculture),Agriculture,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 454 (Education),Education,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 455 (Health),Health,Ministry of Education,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 456 (Education),Education,Ministry of Education,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 457 (Education),Education,Ministry of Education,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 458 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 459 (Finance),Finance,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 460 (Education),Education,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 461 (MSME),MSME,Ministry of Education,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 462 (Health),Health,Ministry of Education,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 463 (Health),Health,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 464 (MSME),MSME,Ministry of Education,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 465 (Agriculture),Agriculture,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 466 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 467 (Health),Health,Ministry of Health and Family Welfare,Karnataka,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 468 (MSME),MSME,Ministry of Health and Family Welfare,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 469 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 470 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 471 (MSME),MSME,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 472 (MSME),MSME,Ministry of Finance,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 473 (Education),Education,Ministry of Education,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 474 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 475 (Agriculture),Agriculture,Ministry of Education,Karnataka,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 476 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 477 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 478 (MSME),MSME,Ministry of Education,All India,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 479 (Health),Health,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 480 (Health),Health,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 481 (MSME),MSME,Ministry of Finance,Gujarat,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 482 (Education),Education,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 483 (Education),Education,Ministry of Finance,Gujarat,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
